,t,ticks,I
462,49605340,11687,58
463,49608139,11719,53
464,49610930,11751,53
465,49613721,11783,56
466,49616520,11815,56
467,49619311,11847,51
468,49622101,11880,50
469,49624892,11912,50
470,49627683,11945,55
471,49630482,11978,52
472,49633273,12011,52
473,49636063,12044,51
474,49638854,12077,51
475,49641653,12111,48
476,49644446,12145,50
477,49647243,12178,50
478,49650034,12212,50
479,49652825,12246,50
480,49655615,12280,47
481,49658408,12315,50
482,49661206,12349,50
483,49663996,12384,47
484,49666795,12419,47
485,49669595,12454,47
486,49672385,12489,43
487,49675176,12524,43
488,49677967,12560,47
489,49680758,12595,43
490,49683548,12631,43
491,49686339,12666,42
492,49689130,12702,42
493,49691920,12738,44
494,49694711,12775,44
495,49697502,12811,44
496,49700292,12847,40
497,49703083,12884,40
498,49705873,12920,37
499,49708666,12958,46
500,49711464,12994,46
501,49714263,13032,37
502,49717053,13069,39
503,49719844,13106,39
504,49722643,13144,37
505,49725434,13181,37
506,49728233,13219,41
507,49731024,13257,32
508,49733815,13295,32
509,49736614,13333,36
510,49739405,13371,36
511,49742196,13410,36
512,49744987,13448,36
513,49747777,13487,36
514,49750576,13526,30
515,49753369,13564,30
516,49756166,13603,35
517,49758957,13642,34
518,49761748,13681,34
519,49764547,13721,31
520,49767338,13760,28
521,49770128,13799,28
522,49772928,13839,36
523,49775718,13879,36
524,49778518,13919,31
525,49781308,13958,29
526,49784099,13998,29
527,49786890,14038,28
528,49789680,14078,28
529,49792471,14119,32
530,49795261,14159,26
531,49798061,14199,26
532,49800852,14240,29
533,49803642,14280,27
534,49806433,14321,27
535,49809241,14362,31
536,49812032,14402,31
537,49814831,14444,22
538,49817622,14485,27
539,49820421,14525,27
540,49823220,14567,25
541,49826011,14608,25
542,49828802,14649,27
543,49831601,14691,20
544,49834391,14732,20
545,49837182,14773,28
546,49839981,14815,28
547,49842772,14857,25
548,49845563,14898,22
549,49848362,14940,22
550,49851155,14982,22
551,49853953,15024,25
552,49856743,15066,25
553,49859534,15107,22
554,49862324,15149,22
555,49865115,15191,20
556,49867905,15233,23
557,49870696,15275,23
558,49873487,15318,22
559,49876279,15360,22
560,49879068,15402,20
561,49881868,15444,17
562,49884667,15486,17
563,49887458,15529,24
564,49890248,15571,24
565,49893039,15613,20
566,49895830,15656,21
567,49898620,15698,21
568,49901421,15741,18
569,49904219,15783,24
570,49907009,15826,24
571,49909800,15868,16
572,49912591,15911,16
573,49915390,15953,18
574,49918190,15996,20
575,49920989,16039,20
576,49923781,16081,18
577,49926579,16124,18
578,49929378,16166,16
579,49932169,16209,16
580,49934959,16251,16
581,49937750,16294,22
582,49940541,16336,14
583,49943332,16379,14
584,49946131,16422,18
585,49948923,16464,18
586,49951721,16507,18
587,49954511,16549,22
588,49957302,16592,22
589,49960093,16634,13
590,49962884,16677,13
591,49965683,16719,17
592,49968474,16762,16
593,49971273,16805,16
594,49974063,16847,14
595,49976863,16889,14
596,49979654,16932,15
597,49982444,16974,16
598,49985235,17017,16
599,49988027,17059,19
600,49990825,17101,11
601,49993615,17144,11
602,49996406,17186,15
603,49999197,17228,15
604,50001996,17270,15
605,50004797,17313,16
606,50007595,17355,16
607,50010386,17397,11
608,50013176,17439,11
609,50015975,17481,16
610,50018783,17523,15
611,50021574,17565,15
612,50024365,17607,11
613,50027156,17648,11
614,50029946,17690,11
615,50032738,17732,15
616,50035536,17773,15
617,50038327,17815,13
618,50041117,17856,11
619,50043909,17898,11
620,50046699,17939,16
621,50049498,17980,16
622,50052306,18022,13
623,50055097,18063,13
624,50057896,18103,13
625,50060687,18145,9
626,50063391,18184,9
627,50066104,18224,17
628,50068895,18264,12
629,50071685,18305,12
630,50074476,18345,14
631,50077275,18386,11
632,50080066,18426,11
633,50082856,18467,18
634,50085647,18507,18
635,50088439,18547,11
636,50091228,18587,14
637,50094027,18627,14
638,50096827,18666,14
639,50099617,18706,14
640,50102417,18746,18
641,50105208,18785,11
642,50107998,18825,11
643,50110797,18864,18
644,50113588,18903,18
645,50116379,18942,15
646,50119170,18981,17
647,50121960,19020,17
648,50124751,19058,14
649,50127542,19097,21
650,50130332,19135,21
651,50133123,19174,16
652,50135913,19212,16
653,50138705,19250,17
654,50141495,19288,17
655,50144294,19326,17
